Nº;MES;DIRIGIDA A;TIPO;DETALLE;;;;;;;;;;;;;;;;;;;;;;;
437;3;GESTION INTERNA;SUGERENCIA;que agilice la resolucion de los expedientes electronicos, no pueden demorar tanto tiempo;;;;;;;;;;;;;;;;;;;;;;;
438;3;SISTEMAS;RECLAMO;buenos días! estuve ingresando en varias ocasiones porque no me dejaba agregar el domicilio fiscar, me dijieron que era un problema del sistema. subí el contrato para sellar fuera de los plazos. espero no se cobre mora por un inconveniente que no era mio sino de la página y además no se podía realizar personalmente.;;;;;;;;;;;;;;;;;;;;;;;
439;3;SISTEMAS;RECLAMO;opcion de reclamos, no existe;;;;;;;;;;;;;;;;;;;;;;;
440;3;GESTION INTERNA;SUGERENCIA;mayor eficiencia para dar respuestas o instrucciones de manera mas rapida a los tramites iniciados de manera on line desde el  sistema sayges por favor, gracias;;;;;;;;;;;;;;;;;;;;;;;
441;3;SISTEMAS;QUEJA;la página para la devolución del impuesto automotor es muy poco amigable y difícil de entender. en el 148 no te atiende nadie y cuando fui en forma presencial me dijeron que tenía que hacer el trámite por la página que no funciona.;;;;;;;;;;;;;;;;;;;;;;;
442;3;;VARIOS;todavía no concluyo el trámite;;;;;;;;;;;;;;;;;;;;;;;
443;3;GESTION INTERNA;SUGERENCIA;que existe mejor relación de tiempos entre los trámites a realizar, las respuestas dadas por su parte y el tiempo para finalizar dechos trámites;;;;;;;;;;;;;;;;;;;;;;;
444;3;SISTEMAS;SUGERENCIA;"mi problema es que quiero cambiar el domicilio fiscal electronico y no encuentro como hacerlo.
en la actualidad no es el mismo que me figura ya que he cambiado de domicilio y no se como hacer para que este último me aparezca, siempre sale el anterior.
gracias.";;;;;;;;;;;;;;;;;;;;;;;
445;3;GESTION INTERNA;SUGERENCIA;agilizar resolucion de expedientes;;;;;;;;;;;;;;;;;;;;;;;
446;3;SISTEMAS;SUGERENCIA;en general el medio de comunicación es muy bueno. hay lugares donde se pide la misma documentación y datos que ya fueron expresados en otros casilleros. tendría que ser más ágil la guía de trámites. por ejemplo se me complicó el trámite de cambiar mi domicilio fiscal y al momento no sé si seguí el camino correcto pero se me ha tomado el número de trámite antes de llegar a este cuestionario.;;;;;;;;;;;;;;;;;;;;;;;
447;3;GESTION INTERNA;SUGERENCIA;sugiero q los tramites que uno carga se respondan- las demoras son de mas de un mes;;;;;;;;;;;;;;;;;;;;;;;
448;3;SISTEMAS;QUEJA;no puede ser que haya que ser si o si sujeto pasivo de impuestos fiscales para poder generar un boleto de pago de tasa de justicia, o un sellado. atm debiera ser accesible a toda la comunidad mendocina, sino se obliga a una persona que no es pasible de iibb a contratar a otra que si lo sea para generar un mísero boleto. ;;;;;;;;;;;;;;;;;;;;;;;
449;3;ATENCION CONTRIBUYENTE;SUGERENCIA;poder comunicarse con el 148 atm, ya que es casi imposible que nos atiendan. mayor celeridad en la resolución de mis trámites on line.;;;;;;;;;;;;;;;;;;;;;;;
450;3;;VARIOS;el punto 4  lo contesto pero recien empiezo el tramite asi que no puedo decir si fue resuelto;;;;;;;;;;;;;;;;;;;;;;;
451;3;GESTION INTERNA;RECLAMO;cargue el auto de un automotor en enero y finalizando marzo no tuve respuesta. los tiempos d tratamiento son excesivamente largos.;;;;;;;;;;;;;;;;;;;;;;;
452;3;SISTEMAS;SUGERENCIA;demore mucho en encontrar la parte de generacion de sellados. lo demas esta muy bien. gracias;;;;;;;;;;;;;;;;;;;;;;;
453;3;SISTEMAS;SUGERENCIA;"deberían estar publicados en un lugar visible, los instructivos de los tramites del servicio ""mis trámites"" ya que el sistema no es muy intuitivo, o no todos tenemos facilidad para comprenderlo.";;;;;;;;;;;;;;;;;;;;;;;
454;3;SISTEMAS;QUEJA;no es clara la forma en la que se gestionan los tramites online;;;;;;;;;;;;;;;;;;;;;;;
455;3;SISTEMAS;SUGERENCIA;un poco compleja la forma de acceder a los tramites, habría que tratar de simplificar las formas en lo posible.;;;;;;;;;;;;;;;;;;;;;;;
456;3;SISTEMAS;RECLAMO;la boleta para el plan de pago no la pueden leer en un rapipago o pagofacil. trato de llamar a atm pero no me atiende nadie. la página es excelente, pero si sale algo mal como en este caso no tengo a quién consultarle;;;;;;;;;;;;;;;;;;;;;;;
457;3;SISTEMAS;SUGERENCIA;mejorar tamaño de letras y páginas;;;;;;;;;;;;;;;;;;;;;;;
458;3;SISTEMAS;FELICITACIONES;creo que es muy bueno el funcionamiento de la pagina, por ahi sellos me costo un poco mas ya que hay q saber cual es por sellos web y por tramite online.;;;;;;;;;;;;;;;;;;;;;;;
459;4;SISTEMAS;SUGERENCIA;mejorar el tramite de sellado de contratos;;;;;;;;;;;;;;;;;;;;;;;
460;4;GESTION INTERNA;SUGERENCIA;esta buenísima la pagina faltaría un poco mas de rapidez cuando se abre un expte electrónico;;;;;;;;;;;;;;;;;;;;;;;
461;4;SISTEMAS;RECLAMO;"por favor mejoren interfaz de sayges, que no te deja visualizar lo que uno quiere adjuntar y si uno quiere volver para atras, te borra todo tu progreso. ademas que lo que se muestra en la pantalla no se ve y no te lo deja ver cuando uno desliza el dedo a traves de toda la pantalla, deberia ser mas fluida la interfaz, anda muy lenta y el tiempo de uno es valioso como para estar ingresando una y otra y otra vez los datos a la pantalla. por favor señores, mejoren esa interfaz.
muchas gracias por dar al usuario esta instancia de sugerencias";;;;;;;;;;;;;;;;;;;;;;;
462;4;SISTEMAS;SUGERENCIA;no se si el tramite lo hice bien o mal, o si me va a generar mas inconvenientes que beneficios. no se si el tutorial fue muy claro, habian pestañas que no eran como en el tutorial, me salian ventanas emergentes que no sabia que responder. quiero hacer las cosas bien, pero no se si las estoy haciendo bien.;;;;;;;;;;;;;;;;;;;;;;;
463;4;GESTION INTERNA;SUGERENCIA;sugiero que se soluciones la falta de personal para la pronta resolucion de expedientes ;;;;;;;;;;;;;;;;;;;;;;;
464;4;GESTION INTERNA;QUEJA;aun espero resolución a un tramite iniciado en el año 2020 - cuit 27-23489626-7 pueden revisarlo por favor, no lo resuelven ni contestan;;;;;;;;;;;;;;;;;;;;;;;
465;4;SISTEMAS;SUGERENCIA;"la sección mis trámites es excepcionalmente buena; pero no es fácil hacer el seguimiento del trámite";;;;;;;;;;;;;;;;;;;;;;;
466;4;GESTION INTERNA;RECLAMO;dan respuestas, pero no resuelven.;;;;;;;;;;;;;;;;;;;;;;;
467;4;SISTEMAS;SUGERENCIA;esta muy bueno que se incorporen la mayoría de los tramites en este formato, me parece que seria bueno incluir tutoriales en formato de video paso a paso bien didácticos para jubilados , gente no amigada con la tecnología o gente que simplemente no quiere leer. ;;;;;;;;;;;;;;;;;;;;;;;
468;4;GESTION INTERNA;SUGERENCIA;entiendo que deben existir muchos tramites, pero el tiempo de demora, obliga a tomar decisiones que posponen otros temas. de todas formas es muy conveniente esta via de comunicación;;;;;;;;;;;;;;;;;;;;;;;
469;4;SISTEMAS;QUEJA;cuando no es la pagina que esta en reparacion, es el correo que no sirve o que ahora no se puede, etc. etc. etc ;;;;;;;;;;;;;;;;;;;;;;;
470;4;SISTEMAS;QUEJA;respuestas de encargados de tramites, sumamente escuetas y poco orientativas.;;;;;;;;;;;;;;;;;;;;;;;
471;4;GESTION INTERNA;RECLAMO;es muy lento el canal para las constestaciones ;;;;;;;;;;;;;;;;;;;;;;;
472;4;GESTION INTERNA;FELICITACIONES;en todas las gestiones a través de la pagina fueron exitosos.. ;;;;;;;;;;;;;;;;;;;;;;;
473;4;SISTEMAS;QUEJA;no es simple llegar a gener un expediente. la respuesta demora minimo 10 dias .;;;;;;;;;;;;;;;;;;;;;;;
474;4;ATENCION CONTRIBUYENTE;RECLAMO;que el 148 atienda una persona física y no dejar esperando tanto al usuario mas de 25 minutos esperando ser atendido y cuando me atendieron se corto la comunicacion y nunca me devolvieron la llamada, otra vez a estar mas de 15 esperando que un operador me atienda.;;;;;;;;;;;;;;;;;;;;;;;
475;4;SISTEMAS;SUGERENCIA;hacer mas amigable el acceso y navegación.;;;;;;;;;;;;;;;;;;;;;;;
476;4;SISTEMAS;SUGERENCIA;que los sistemas de afip se comuniquen bien con los de atm;;;;;;;;;;;;;;;;;;;;;;;
477;4;SISTEMAS;SUGERENCIA;mas agilidad en la página ya que muchas veces se cae o está inactiva.;;;;;;;;;;;;;;;;;;;;;;;
478;4;ATENCION CONTRIBUYENTE;SUGERENCIA;mayor celeridad en la atencion del 148. quince minutos diciendo que los operarios estan ocupados;;;;;;;;;;;;;;;;;;;;;;;
479;4;SISTEMAS;FELICITACIONES;muy buenservicio, y mas ahora que debemos realizar muchos trámites desde la oficina;;;;;;;;;;;;;;;;;;;;;;;
480;4;GESTION INTERNA;FELICITACIONES;excelente el personal. gracias;;;;;;;;;;;;;;;;;;;;;;;
481;4;SISTEMAS;SUGERENCIA;no tengo claro el tramite que inicie que es un plan de pago inmobiliario deuda;;;;;;;;;;;;;;;;;;;;;;;
482;4;GESTION INTERNA;SUGERENCIA;respuestas mas rapidas;;;;;;;;;;;;;;;;;;;;;;;
483;4;;VARIOS;ojala encuentre respuesta urgente a lo enviado;;;;;;;;;;;;;;;;;;;;;;;
484;4;SISTEMAS;RECLAMO;el sistema mis tramites no es eficiente, tardan mucho en responder, no está completa la información de los requisitos de cada trámite, algunos tramites iniciados han desaparecido, y no es posible rastrearlos y no hay posibilidad de comunicación con el personal para solucionar inconvenientes, por ej. catastro.;;;;;;;;;;;;;;;;;;;;;;;
485;4;SISTEMAS;SUGERENCIA;deberian agregar mas opciones de  tramites ;;;;;;;;;;;;;;;;;;;;;;;
486;4;SISTEMAS;RECLAMO;mientras funciona, esta bien. pero se desconecta el sistema muy seguido;;;;;;;;;;;;;;;;;;;;;;;
487;4;GESTION INTERNA;QUEJA;es un desasastre la falta de resolucion de problemas! como puede ser que se han abierto exptes electronicos por baja de vehiculos y no obtenemos respuestas!;;;;;;;;;;;;;;;;;;;;;;;
488;4;GESTION INTERNA;SUGERENCIA;el porcentaje del sellado de 0,5 a 1,5% encarece mucho. por qué no pasa al 1%?;;;;;;;;;;;;;;;;;;;;;;;
489;4;SISTEMAS;RECLAMO;ya lo puse enteriormente, el portal y sus aplicativos, deben ser de acceso para toda la comunidad, no unicamente para quien este registrado como sujeto pasible de iibb. a mi me ha re perjudicado por un error que cometio mi contadora que me dio de baja del impuesto, y ahora no puedo usar lo habitual en mi profesion;;;;;;;;;;;;;;;;;;;;;;;
490;4;GESTION INTERNA;SUGERENCIA;demoran mucho en renovar el certificado de excusion, se pide agilidad gracias!;;;;;;;;;;;;;;;;;;;;;;;
491;4;SISTEMAS;SUGERENCIA;agilizar la carga de documentos y archivos.;;;;;;;;;;;;;;;;;;;;;;;
492;4;SISTEMAS;FELICITACIONES;la pagina es ágil, sencilla y clara. me gusta;;;;;;;;;;;;;;;;;;;;;;;
493;4;SISTEMAS;SUGERENCIA;mas servicios on line;;;;;;;;;;;;;;;;;;;;;;;
494;4;SISTEMAS;FELICITACIONES;satisfactoria;;;;;;;;;;;;;;;;;;;;;;;
495;4;ATENCION CONTRIBUYENTE;RECLAMO;"los teléfonos de la empresa no se atienden correctamente, porque los empleados demoran hasta media hora para levantar el tubo. es más hay casos que los operadores agendan el teléfono del contribuyente para luego llamarlo y eso no ocurre esto es una falta de respeto y consideración al contribuyente.
la información telefónica debe ser ágil  y es vital para que los contribuyentes podamos cumplir con nuestras obligaciones  y además para ayudar con la páginas de la web de vuestra empresa .
las personas mayores lamentablemente no pueden solucionar sus inconvenientes mediante una pagina web , porque no la entienden, son muy complicada y nuestro viejos jamas manejaron una pc
deberían existir otras alterativas para poder solucionar este tipo de inconvenientes
saludos cordiales carlos";;;;;;;;;;;;;;;;;;;;;;;
496;4;SISTEMAS;SUGERENCIA;me ha resultado sumamente difícil y con cuatro días de insistir porque no tenía idea cómo se hacía escaneando. perdón pero soy de una generación no digital y la verdad es que espero ahora haberlo hecho correctamente. de todas formas hay que aprender para ajustarse a los tiempos de todos. ;;;;;;;;;;;;;;;;;;;;;;;
497;4;SISTEMAS;RECLAMO;revisar página ya q no me dejar realizar el pago de patente por débito, arroja un error;;;;;;;;;;;;;;;;;;;;;;;
498;4;SISTEMAS;RECLAMO;"ua vez iniciado el trámite, por más que está la opción, no me permite adjuntar nada, no me lo toma, por lo que la info que me solicitaron, no la tomó y dieron por archivado el trámite.
muchas gracias";;;;;;;;;;;;;;;;;;;;;;;
499;4;GESTION INTERNA;SUGERENCIA;cuando se solicitan boletos para pagar tramites ser mas rapidos;;;;;;;;;;;;;;;;;;;;;;;
500;4;SISTEMAS;FELICITACIONES;muy practco el sistema ayuda a solucionar problemas;;;;;;;;;;;;;;;;;;;;;;;
501;4;ATENCION CONTRIBUYENTE;QUEJA;pésimo el sistema  no hay un sólo teléfono de contacto, no hay ningún mecanismo de consulta respecto de cómo hacer algún trámite. si no se tiene algún conocido dentro dentro de la repartición no se puede averiguar nada de nada. absolutamente inconducente una encuesta que nadie va a leer y para nada va a servir ni nada va a mejorar...mientras tanto los contribuyentes seguimos abonando impuestos y tasas, ahorcados en medio de una pandemia y ustedes ni se toman la cortesía de poner a disposición algún teléfono de contacto. bravo!;;;;;;;;;;;;;;;;;;;;;;;
502;4;GESTION INTERNA;SUGERENCIA;la realización de los tramites con mas rapidez;;;;;;;;;;;;;;;;;;;;;;;
503;4;SISTEMAS;RECLAMO;"en el tema  """"sellado de contratos"" no es clara la informacion que te brindan los agentes, ya que si bien se hace a través del aplicativo sellos, la parte de exencion me informaron por mail que se tiene que pedir a través de expediente electronico... 2 formas para algo que forma parte del mismo impuesto, es innecesario.";;;;;;;;;;;;;;;;;;;;;;;
504;4;SISTEMAS;QUEJA;la pagina se cae bastante;;;;;;;;;;;;;;;;;;;;;;;
505;4;SISTEMAS;SUGERENCIA;que sea mas facil para entrar en el cellado;;;;;;;;;;;;;;;;;;;;;;;
506;4;SISTEMAS;FELICITACIONES;gracias;;;;;;;;;;;;;;;;;;;;;;;
507;4;SISTEMAS;RECLAMO;en el tramite q estoy realizando me dicen q lo tengo q ace usando una opcion que no existe en mi oficina virtual “compensación o devolución impuesto automotor 2021” ;;;;;;;;;;;;;;;;;;;;;;;
508;4;SISTEMAS;SUGERENCIA;"deberían unificar el trámite de sellado, o eliminar el aplicativo ""sellos web"", que no tiene utilidad adicional alguna si se puede iniciar un expediente para solicitar un sellado";;;;;;;;;;;;;;;;;;;;;;;
509;4;SISTEMAS;SUGERENCIA;mi sugerencia es que todos los tramites deberían ser de mas fáciles de realizar y de forma mas intuitiva. para aquellos que somos nuevos en ciertos temas es increíblemente difícil ubicarse en cuanto a requisitos a presentar considero que debería existir un numero único como un código de barras o qr para guardar toda la información con clave y dni como un banco sin necesidad de enviar fotos o archivos adjuntos esperando;;;;;;;;;;;;;;;;;;;;;;;
510;4;SISTEMAS;SUGERENCIA;mayor detalle en los manuales sumado a un servicio de whatsapp de consulta rapida;;;;;;;;;;;;;;;;;;;;;;;
511;4;GESTION INTERNA;RECLAMO;se demoran mucho en respodner los tramites online y no son efectivos;;;;;;;;;;;;;;;;;;;;;;;
512;4;SISTEMAS;SUGERENCIA;las presentaciones digitales no están muy claras y observación tendríamos que exponer todo el problema ;;;;;;;;;;;;;;;;;;;;;;;
513;4;GESTION INTERNA;QUEJA;cambiennnn mi correo por favor..ya lo informe  en tiempo y forma inicie expte;;;;;;;;;;;;;;;;;;;;;;;
514;4;SISTEMAS;QUEJA;"hace mas de dos meses que la aplicacion no funciona para realizar pago o realizar consulta alguna, me he atrasado en el pago de las cuotas del plan a causa de este inconveniente.
solucion urgente, me genera intereses el pago fuera de termino y no es un problema del usuario.
saludos oscar";;;;;;;;;;;;;;;;;;;;;;;
515;4;SISTEMAS;SUGERENCIA;seria muy bueno poder descargar boleto de deuda de periodos anteriores al vigente;;;;;;;;;;;;;;;;;;;;;;;
516;4;SISTEMAS;RECLAMO;el aplicativo tajus posee algunas incongruencias que sería necesario eliminar a fin de agilizar su funcionamiento  y el aplicativo beneficio de litigar sin gastos al día de hoy no funciona;;;;;;;;;;;;;;;;;;;;;;;
517;4;GESTION INTERNA;SUGERENCIA;mejorar los tiempos de resolucion y hacer mas practica la comunicacion con el gestor de soluciones;;;;;;;;;;;;;;;;;;;;;;;
518;4;ATENCION CONTRIBUYENTE;QUEJA;a los que estamos fuera de la provincia el 0800 tardaron 4 dias en atenderme mejorar eso;;;;;;;;;;;;;;;;;;;;;;;
519;4;SISTEMAS;SUGERENCIA;me parece que la solicitud de sellado web  no está muy clara. es un poco ambigua. falta mas información para que sea más fácil para entender y hacer la gestión sin tantas dudas. de todos modos, los tutoriales, descarga de boletos y demás los veo muy bien. bastante fácil y accesible.;;;;;;;;;;;;;;;;;;;;;;;
520;4;GESTION INTERNA;SUGERENCIA;a mi me observan el tramite de sellado pero nose el motivo;;;;;;;;;;;;;;;;;;;;;;;
521;4;SISTEMAS;SUGERENCIA;no soy muy preparada para esto pero estoy ayudando a personas mayores que se le hace imposible ojala haya hecho lo correcto ;;;;;;;;;;;;;;;;;;;;;;;
522;4;GESTION INTERNA;RECLAMO;tasa de justicia, el trámite eterno!;;;;;;;;;;;;;;;;;;;;;;;
523;4;GESTION INTERNA;SUGERENCIA;no me quedó claro como van a responder mi reclamo  ni en que plazo.;;;;;;;;;;;;;;;;;;;;;;;
524;4;ATENCION CONTRIBUYENTE;FELICITACIONES;la atencion en el 148 muy buena.pero la pagina muy complicada;;;;;;;;;;;;;;;;;;;;;;;
525;4;GESTION INTERNA;QUEJA;no logran resolver el inconveniente que tiene en el sistema;;;;;;;;;;;;;;;;;;;;;;;
526;4;GESTION INTERNA;QUEJA;no me dan la solucion a mi problema, me dicen que corresponde a otra àrea perso el sistema no m e permite gestionarlo, telefonicamente te dejan horas y no te atienden. a cabo de iniciar otro expediente para ver si me lo deriban al àrea correspondiente o me lo soluciones desde allì, espero tener suerte, gracias.-;;;;;;;;;;;;;;;;;;;;;;;
527;4;GESTION INTERNA;QUEJA;mande varios expedientes por devolución de pago anual de vehículo y cambio de domicilio pasan los meses y no hay repuesta solo proceso.;;;;;;;;;;;;;;;;;;;;;;;
528;4;ATENCION CONTRIBUYENTE;QUEJA;"la atencion de atm es pauperrima, por ser educado uso esa palabra, pero deberia ser tal cual son los que en teoria deberian atender por telefono y te denigran, al igual, los que no te contestan los mails, dado que el "" sistema "" de atm no funciona bien";;;;;;;;;;;;;;;;;;;;;;;
529;4;GESTION INTERNA;SUGERENCIA;algunos trámites han finalizado satisfactoriamente, pero actualmente presenté un caso el 18/03/2021, cuit 20221856903, y no he recibido respuesta alguna. gracias.;;;;;;;;;;;;;;;;;;;;;;;
530;4;GESTION INTERNA;SUGERENCIA;un expte que inicié fue resuelto en tiempo y forma, pero otro expte lo inicié en octubre del año pasado, me pedía adjuntar documentación y no se podía lo que tuve que iniciar otro expte y acumularlo al anterior, pero hasta el momento no he tenido ninguna respuesta;;;;;;;;;;;;;;;;;;;;;;;
531;4;ATENCION CONTRIBUYENTE;QUEJA;atencion mala;;;;;;;;;;;;;;;;;;;;;;;
532;4;SISTEMAS;RECLAMO;la pagina es muy engorrosa, los invito a visitar la pagina de la provincia de córdoba. tiene que ser una pagina intuitiva, practica, con diferentes medios de pago... por ejemplo, necesito sacar las boletas adeudadas y no lo puedo hacer.!!, la otra semana pague de manera electrónica el impuesto 2021 y todavía me cobra interés..!! son cosas inexplicables.. los datos de contactos indican que se puede llamar de l a v hasta las 19 hs y cuando llamó me dice que trabajan hasta las 14 hs... ?!?! la pagina esta desactualizada. es una vergüenza, hace ya un año de pandemia, donde los medios digitales nos han facilitado los tramites, y resulta que pagarle a la provincia es tan difícil y solo nos exponen a realizar tramites en las oficinas presenciales... ?!? naaa... pónganse las pilas... y mejoren la pagina;;;;;;;;;;;;;;;;;;;;;;;
533;4;SISTEMAS;SUGERENCIA;el tramite de sellado debe ser mas sencillo;;;;;;;;;;;;;;;;;;;;;;;
534;4;SISTEMAS;SUGERENCIA;no se entiende bien por qué otra persona puede generar planes de pago a mi nombre de propiedades mías pero que debe pagar él.;;;;;;;;;;;;;;;;;;;;;;;
535;4;SISTEMAS;FELICITACIONES;todo ok;;;;;;;;;;;;;;;;;;;;;;;
536;4;SISTEMAS;SUGERENCIA;actualizar la información, sobre todo en tasa de justicia;;;;;;;;;;;;;;;;;;;;;;;
537;4;SISTEMAS;FELICITACIONES;sigan asi!!!!;;;;;;;;;;;;;;;;;;;;;;;
538;4;SISTEMAS;SUGERENCIA;soporte para celulares. mejorar eso...desde una pc es dificil;;;;;;;;;;;;;;;;;;;;;;;
539;4;GESTION INTERNA;SUGERENCIA;mejorar los tiempos de respuesta;;;;;;;;;;;;;;;;;;;;;;;
540;4;GESTION INTERNA;SUGERENCIA;la respuesta a los trámites electrónicos debería ser más ágil. ;;;;;;;;;;;;;;;;;;;;;;;
541;4;;VARIOS;el punto 4, coloqué no estar satisfecha porque recien inicio el trámite y no se cuando se resolverá.;;;;;;;;;;;;;;;;;;;;;;;
542;4;SISTEMAS;RECLAMO;solicito poder anular plan de pago mal generado de manera virtual;;;;;;;;;;;;;;;;;;;;;;;
543;4;GESTION INTERNA;QUEJA;sería bueno que contestaran el estado de los trámites . hece 4 meses solicité el alta de mi vehìculo y no me lo resuelven y me va generando intereses todos los meses;;;;;;;;;;;;;;;;;;;;;;;
544;4;SISTEMAS;QUEJA;muy rebuscada la página, no deja imprimir boletos anteriores, un desastre;;;;;;;;;;;;;;;;;;;;;;;
545;4;SISTEMAS;QUEJA;quiero pagar una multa de y no hay forma. nunca habia visto una sitio tan confuso y poco amigable. ;;;;;;;;;;;;;;;;;;;;;;;
546;4;SISTEMAS;QUEJA;se tilda la pagina al seleccionar el pago con tarjeta de credito d e la tasa de justicia ;;;;;;;;;;;;;;;;;;;;;;;
547;4;GESTION INTERNA;QUEJA;mejorar atenciòn y resoluciòn de expedientes ya que los datos registrados en mi sistema no coinciden con los de atm e implica realizar nuevamente el tramite;;;;;;;;;;;;;;;;;;;;;;;
548;4;SISTEMAS;RECLAMO;quiero pagar sellado de mi contrato de locación. imposible por que no esta vinculado el padron a mi cuit. use otro atajo espero que no sea imposible por este medio;;;;;;;;;;;;;;;;;;;;;;;
549;4;SISTEMAS;RECLAMO;deberia haber una opcion para el cambio de actividad, si es sencillo mejor.;;;;;;;;;;;;;;;;;;;;;;;
550;4;SISTEMAS;SUGERENCIA;si bien al ya haber realizado pedidos de sellados por ahi llegar a trámites remotos no es tan fácil de darse cuenta para alguien que ingresa por primera vez;;;;;;;;;;;;;;;;;;;;;;;
551;4;SISTEMAS;SUGERENCIA;mejorar la lógica en la navegación de la plataforma, ya que en tiempos de pandemia muchos de los trámites los realizan los usuarios y no poseen la cotidianidad de la navegación en la página o los conocimientos básicos para realizar dichos trámites.;;;;;;;;;;;;;;;;;;;;;;;
552;4;SISTEMAS;QUEJA;ultimamente no puedo cargar las ordes de compra para recibir o emitir el boleto, lo tenemos que realizar por mis tramites . se cuelga la pagina.;;;;;;;;;;;;;;;;;;;;;;;
553;4;GESTION INTERNA;SUGERENCIA;que al momento de responder sean mas explicitos;;;;;;;;;;;;;;;;;;;;;;;
554;4;GESTION INTERNA;SUGERENCIA;que los expedientes iniciados en mis trámites se resuelvan más rápido.;;;;;;;;;;;;;;;;;;;;;;;
555;4;SISTEMAS;SUGERENCIA;tutoriales explicativos;;;;;;;;;;;;;;;;;;;;;;;
556;4;SISTEMAS;RECLAMO;tendría que ser mas detallada a la hora de hacer tramites online no están todos los tramites para hacerlo por ejemplo para hacer el tramite de cambio de domicilio de un vehículo no esta yo compre un vehículo en otra provincia y nose como hacerlo desde la pc sin tener que ir a atm ;;;;;;;;;;;;;;;;;;;;;;;
557;4;SISTEMAS;SUGERENCIA;se sugiere que exista comunicacion directa con el servicio tecnico para solucionare errores. gracias.;;;;;;;;;;;;;;;;;;;;;;;
558;4;SISTEMAS;SUGERENCIA;seria necesario mas claridad para acceder, me costo mucho poder hacer el expediente digital, es poco clara la informacion ademas de que hay que saber de computacion para agregar los que solicitan en pdf;;;;;;;;;;;;;;;;;;;;;;;
559;4;SISTEMAS;QUEJA;siendo profesional, me cuesta un monton iniciar un tramite. aveces hay demasiado posibilidades y siempre falla la que necesito. acabo de terminar de ingresar una exencion por locación y lo hice por syges mis tramites y no tengo seguridad si lo hice bien. comencé por sellos para pagar y no pude terminarlo porque no podían calcular el monto del tributo. luego por mis trámites y tenes opciones ambiguas. solicitud de sellos y otra similar que dice vinculado a sellos.... luego en ningun lado esta la opcion de excencion por locación comercial y supongo debe haber un monton!!! ;;;;;;;;;;;;;;;;;;;;;;;
560;4;SISTEMAS;QUEJA;"me parece pésimo el sistema . hay que iniciar el tramite via web , pero terminarlo personalmente. ridiculo, doble trabajo. encima no se pueden conseguir turnos a la brevedad , ya que al intentar pedirlos , dice que no hay disponibles, pero si uno va a la ofivina en san martin , encuentra los ""turneros"" que por $50 venden los turnos. es un sistema mas burocratico y corrupto";;;;;;;;;;;;;;;;;;;;;;;
561;4;GESTION INTERNA;SUGERENCIA;debería haber mas rapidez en las respuestas;;;;;;;;;;;;;;;;;;;;;;;
562;4;SISTEMAS;SUGERENCIA;poder liquidar intereses resarcitorios de los boletos de automotor e inmobiliario por pagos fuera de término desde la web o mis tramites;;;;;;;;;;;;;;;;;;;;;;;
563;4;ATENCION CONTRIBUYENTE;QUEJA;por favor que alguien atienda el telefono. por favor que alguien haga algo para que esto medianamente funcione;;;;;;;;;;;;;;;;;;;;;;;
564;4;GESTION INTERNA;SUGERENCIA;me gustaría que los tramites realizados vía online, sean resueltos de manera inmediata seria de gran ayuda, en mi caso utilizo mucho atm;;;;;;;;;;;;;;;;;;;;;;;
565;4;GESTION INTERNA;QUEJA;son unos ladrones es increíble lo que han aumentado los impuestos, solo para mantener ñoquis que ni te contestan cuando necesitas algo.;;;;;;;;;;;;;;;;;;;;;;;
566;4;SISTEMAS;SUGERENCIA;mi sugerencia, personalmente, es que deberían aparecer todos los inmuebles para generar planes de pago en la seccion mis tramites, no pude realizar sola el tramite que queria hacer, me quise contactar por mail, no se que problema hay con el mail, llamé por telefono, no contestan obviamente.;;;;;;;;;;;;;;;;;;;;;;;
567;4;SISTEMAS;QUEJA;desde ayer que no se puede realizar la formulación de sellados por la página;;;;;;;;;;;;;;;;;;;;;;;
568;4;SISTEMAS;SUGERENCIA;una posible mejora sería, cuando la pagina esta en modo mantenimiento tratar de realizarlo fuera del horario de mañana. a lo mejor realizarlo en la noche gracias;;;;;;;;;;;;;;;;;;;;;;;
569;4;SISTEMAS;QUEJA;muy difícil hacer sellar contratos de alquiler;;;;;;;;;;;;;;;;;;;;;;;
570;4;SISTEMAS;QUEJA;optimicen el desgraciado sistema que han implementado.  es frustrante, para un ciudadano que no sea ingeniero en sistema, pretende cumplir sus obligaciones fiscales o interactuar con las reparticiones de la administración para la cual han creado este sistema, por intermedio del mismo.  simplemente desastrozo ;;;;;;;;;;;;;;;;;;;;;;;
571;4;SISTEMAS;RECLAMO;"para el supuesto de los sellados web, la información brindada es poco clara. la aplicación sellos web no funciona (estuve tres días seguidos tratando de utilizarla). como conclusión, solicité el sellado de contrato de locación de inmueble (en representación del locador) a través de la aplicación mis tramites, la cual funciona correctamente.
salvo lo anteriormente informado,  no he tenido inconveniente en otras aplicaciones que he tenido que utilizar (por ejemplo, tasa de justicia y certificado catastral). ";;;;;;;;;;;;;;;;;;;;;;;
572;4;GESTION INTERNA;SUGERENCIA;tendría que ser más rápida la respuesta;;;;;;;;;;;;;;;;;;;;;;;
573;4;GESTION INTERNA;QUEJA;no pueden demorar tanto en la respuesta a cada requerimiento.-;;;;;;;;;;;;;;;;;;;;;;;
