,P7,ingles
710,espero resultados de la gestion realizada,I hope results of the manage carried out
711,mejorar y actualizar mi tramites web en sellos con los nuevos numeros de padron que son mas extensos no se puede hacer en el momento gracias,improve and update my web processing in stamps with the new numbers of Padron that are more extensive can not be done at the moment thanks
712,mejorar comunicacion con los empleados que resuelven los tramites mas directa y por correo electronico permitir llamadas telefonicas para operar,Improve communication with employees who resolve more direct and email processing allow telephone calls to operate
713,todo muy bien gracias,everything is fine thanks
714,esta todo bien con la pagina y el servicio,It's all right with the page and service
715,no cobren tanto,Do not charge so much
716,realmente deben mejorar muchoen sus registros figuro con varias patentes y a la fecha no tengo a mi nombre ninguno,they really should improve their figuro records with several patents and to date I do not have my name none
717,muy complicados algunos tramites uno se mete para ir averiguando y a cada paso lo consideran declaracion jurada demasiado legalista para una oficina administrativa y complican los tramites han retroalimentado su propio vocabulario no lo han adaptado al contribuyente que no es contribuyente es ciudadano ,very complicated some procedures one gets to find out and every step is considered too legalistic sworn declaration for an administrative office and complicate the procedures have feedback their own vocabulary have not adapted to the taxpayer who is not a taxpayer is a citizen
718,"este tramite de suspension por robo no pedia codigo 03  es decir el contribuyente estaba exento  y ahora veo en el protocolo que lo pide no se desde cuando ni por que
","This Robo Suspension Traffic did not ask code 03 ie the taxpayer was exempt and now I see in the protocol that he asks him not since when
"
719,deberian agregar la opcion de verificar los saldos a favor del contribuyente que surgen de las ddjj mensuales de ingresos brutos,You should add the option to verify the balances in favor of the taxpayer that arise from the monthly DDJJs of gross income
720,deben poner gente capacitada para resolver los tramites digitales,They should put people trained to solve digital procedures
721,por favor manden las boletas y no le sigan complicando mas la vida a los ciudadanos,please send the ballots and do not keep complicating more life to citizens
722,que la gente que lee los expedientes aprendan a leer bien para dar soluciones rapidas burros de mierda ,that people who read the records learn to read well to give quick solutions fucking donkeys
723,colocar otro linea alternativa cuesta mucho comunicarse para asesorarce ,place another alternative line costs a lot to communicate for advising
724,cuesta entrar sayges,It costs Sayges
725,alguien que responda dudasque no sea virtual,someone who answers dugs is not virtual
726,mas rapidez en el sellado de los contratos de locacion por mis tramites,More speed in the sealing of location contracts for my procedures
727,la pagina no se ve bien cuando se consulta en los celulares,The page does not look good when you consider in cell phones
728,la linea 148 es inaccesible hay tramites que no pueden realizarse ,Line 148 is inaccessible there are procedures that can not be done
729,hacerla mas facil para los mayores ,make it easier for the elderly
730,necesitan una pestaña donde se pueda redactar las problematicas cuando no se ven incluidos dentro de las categorias predeterminadas de tramites a veces se necesitan hacer otras consultas o resolver otras problematicas que no son las mencionadas se puede solucionar agregando una categoria varios dentro de las pestañas tramites para cada uno de los conceptos automotor- inmobiliario etc,They need a tab where problems can be written when they are not included within the predetermined process categories Sometimes they need to do other queries or solve other problems that are not mentioned can be solved by adding a different category into the TRAMITES tabs for each of the automotive concepts etc.
731,mas simple seria mejor para el resto de los mortales,more simple would be better for the rest of the mortals
732,me gustaria que se respondiera con mayor rapidez los tramites ya que tardan demasiado,I would like to respond more quickly the procedures since they take too long
733,deberia ser mas amigable,should be more friendly
734,se necesitaria recibir una respuesta  rapida a la solucion del problema/,It would take to receive a quick response to the solution solution /
735,podrian aplicar mas rapido los pagos o aclara que se envie el comprobante de presentacion y pago de los impuestos a determinado correo,Could you apply faster payments or clarify that the proof of presentation and payment of taxes to a given mail is sent
736,habria preferido hablador telefono pero durante dias llame y nunca pude hablar en ningun horario me cuesta mucho trabajar en la web,I would have preferred talkative phone but during days call and I could never talk about any time it costs me a lot to work on the web
737,la seccion de sellados y tasa de justicia cuesta mucho para lograr el objetivo final cual es el pago del tributo,Sealed section and justice rate costs a lot to achieve the ultimate goal what is the payment of the tribute
738,mejorar las opciones para un mejor desarrollo de la consulta ya que sin supervision cuesta mucho,Improve options for a better development of the query since without supervision costs a lot
739,deberia poder hacerse los tramites en oficinas tambien ya que muchos nos cuesta por hacerlo en forma virtual,should be able to make the processing in offices as well since many cost us to do it virtually
740,mala atencion por los que se encargan de recepcion de sellos  no de todos pero pedi reiteradas veces ayuda ya que soy una personas mayor y nunca obtuve mas que el instructivo  nunca pude hacer un sello a traves de sellos web ya que el paso 4 de 4 no se como resolverlo y atm nunca devolvio una consulta concreta mandan una y otra vez el instructivo y eso que aclare que no lo se resolver hay que mejorar esa parte ya que algunos somos mayores y nos cuenta mas muchas gracias,"Bad attention for those who are responsible for reception of stamps not of all but repeatedly helping help since I am an older people and I never got more than the instructions I could never make a stamp through web seals since Step 4 of 4 I know how to solve it and ATM never returned a concrete consultation, send the instructions over and over again and that it clarifies that I will not be resolved you have to improve that part since some are greater and you tell us more thank you very much"
741,no realizar mantenimiento del sistema en horarios laborales mas claridad en instrucciones,Do not carry out system maintenance at labor schedules more clarity in instructions
742,acelerar los tramites porque se demoran 60 dias para sacar una resolucion,Accelerate the procedures because they take 60 days to take out a resolution
743,sigo esperando respuesta por un error de cobro en un rapipago el impuesto a pagar era de $445 y me cobraron $8245 necesito que me consideren ese credito para el pago de otros impuestos espero respuesta y ademas seria bueno que enviaran recordatorio e impuestos a pagar por email,I'm still waiting for an answer for a collection error in a rapipago The tax to be paid was $ 445 and they charged me $ 8245 I need me to consider me that credit for the payment of other taxes I hope response and it would be good that will send reminder and taxes to pay by email
744,cuando queres ingresar a automotor / mobiliario te redirecciona a la antigua paguina y te sale una ventana emergente cada vez que realizar click podria sacarlo ya otra cosa no es muy intuitiva la pagina en si resaltaria las botoneras de acciones cada vez que ingresas te pide validar el mail y tildar que infor e impuestos queres recibir al mismo yo ya lo he echo adheri todos mis servicios a boleto mail y aun me lo sigue preguntando,"When you want to enter the automotive / furniture you redirect you to the old pay and you get a pop-up window every time you click it could get it another thing, it is not very intuitive, it is not very intuitive the page in itself I will stand Mail and Tildar What information do you want to receive it and I have already made it all my services to Mail ticket and still asking it"
745,se podria automatizar los planes de pago eligiendo los periodos adeudados y que genere un unico boleto,The payment plans could be automated by choosing the periods owed and that generates a unique ticket
746,me comunique por deuda de ingresos brutos para pedir la liquidacion de la misma,I communicate for debt of gross income to ask for the liquidation of the same
748,actualicen el sistema mejor asesoramiento y un interfaz mas claro y simple,update the system better advice and a clearer and more simple interface
749,dificil obtener respuesta a dudasya sea de forma virtual de forma telefonica y por app,difficult to obtain response to DudaSaya be virtually telephone and by App
750,el aplicativo sellos web deberia permitir el tramite de sellado no solo a los propietarios sino tambien a los usufructuarios ,The Web Sleeles Application should allow the sealing process not only to the owners but also to the usufructuaries
751,los tramites presentados en forma virtual son demasiado lentos en resolverse,the procedures presented in virtual form are too slow to solve
752,es excelente la pagina mi critica es respecto a la respuesta en la resolucion de los expedintes electronicos generalmente hago cambio de titularidad en los inmuebles o sellados de contratos,The page is excellent. My criticism is regarding the response in the resolution of electronic issues I usually make a change of ownership in real estate or sealed contracts
753,es muy dificil llegar a las notificaciones respecto de los tramites iniciados a traves de mis tramites,It is very difficult to reach notifications regarding the procedures started through my procedures
754,incluir mayor cantidad de sistemas ,Include more systems
755,mayor integracion de los sistemas puesto que ya he sido dado de alta en el monotributo y aun no puedo bajar la contacia de ingresos brutos neceserias para poder terminar mis tramites,greater integration of the systems since I have already been discharged at the monotributo and I still can not lower the replacement of gross income needed to be able to finish my procedures
756,es muy mala la atencion al cliente los emails los responden como si fueran respuestas automaticas cero colaboracion y ayuda ademas la linea telefonica nunca funciona no atienden y al rato de 20min se corta directamente muy malo el servicio,The customer's attention is very bad. Emails respond as if they were automatic answers zero collaboration and help also the telephone line never works do not attend and after a time of 20min is cut directly very bad the service
757,facilitar mas el uso de esta herramienta la entienden facilmente solo los que pasan el dia sobre  ella y los que tenemos que usarla periodicamente encontramos dificultades por ejemplo estoy intentando solicitar  un plan de pago para regularizar mi deuda 2020 y luego de horas de intentos no encuentro el camino a seguir si el sistema fuera mas amigable yo con los conocimientos actuales de informatica q,"Facilitate more The use of this tool easily understand it only those who spend the day on it and those that we have to use it periodically we find difficulties, for example, I am trying to request a payment plan to regularize my debt 2020 and after hours of attempts I do not find the I walk to follow if the system was more friendly I with the current knowledge of Informatica Q"
758,algunas secciones no son de facil compresion para un usuario que no es contador,Some sections are not easy to compress for a user who is not a counter
759,no reclamen deudas prescriptas  estan ahogando al contribuyente y ponen palos en la ruedad,Do not claim prescribed debts are drowning the taxpayer and put on the rug
760, algunos tramites realizados en la direccion general de catastro tienen demasiada  demora lo que produce inconvenientes importantes en la transferencia de los inmuebles," Some procedures carried out in the General Directorate of Cadastre have too much delay, which produces important inconveniences in the transfer of properties"
761,no encontre el nombre de mi tramite,I do not find the name of my process
762,debe aclarar mas los detalles en mis tramites para adjuntar documentacion falta para adjuntar en el expediente  que se tramita hay que colocar otros para los que faltan,You must clarify more details on my procedures to attach documentation. Fault to attach in the file that is processed you have to place others for those missing
763,ayuda con un representante online,Help with an online representative
764,yo necesito de mis hijas para poder entender esto yo soy un señor grande sin tecnologia me cuesta muchisimo tal vez se deberia tener en cuenta cierta edad para realizar tramites de manera mas presencial,"I need my daughters to understand this I am a great man without technology, it is very difficult for me maybe it should be taken into account a certain age to carry out more face-to-face"
765,deberia ser mas explicativa la pagina,the page should be more explanatory
766,falta un lugar claro en los cuales poder hacer un reclamo especifico,a clear place is missing in which you can make a specific claim
767,ninguna,none
768,estoy esperanto una respuesta de expediente electronico,I am Esperanto an electronic file response
769,el uso de plataformas para realizar tramites es muy comodo y estoy acostumbrada a hacerlo pero esta vez me costo un poco hallar el tramite que necesitaba realizar yo pude navegar por la pagina comprender la informacion escanear los documentos etc pero no se si cualquier persona puede realizar un tramite a traves de este medio hay que seguir trabajando en la simplificacion,The use of platforms to make paperwork is very comfortable and I am used to doing it but this time I cost a little Tramit through this means you have to continue working on the simplification
770,para abonar la tasa de justicia es complejo el formulario ademas de poco claro ,To pay the rate of justice is complex the form also of unclear
771,deben registrar los pagos asi evitan tramites de los contribuyentes,They must register payments as well avoid taxpayers trawls
772,deberian actualizar los instructivos y agregar mas hay temas que no estan y hay que buscar informacion en otro lado,They should update the instructions and add more there are issues that are not and you have to look for information elsewhere
773,en varias oportunidades la pagina muestra que no han sido presentadas declaraciones juradas cuando han sido presentadas en tiempo y formay esta situacion trae complicaciones al querer generar el estado de cumplimientoya que hay que esperar que se procese la informacion que no muestra el sistema y que esta presentada,"On several occasions, the page shows that sworn statements have not been filed when this situation has been presented and this situation brings complications by wanting to generate the state of compliance and have to be expected to be processed the information that does not show the system and that it is presented"
774,pagina correcta,Correct page
775,que lean los reclamos porque hice un reclamo y me respondieron con algo que ya se y no e dieron una solucion entonces al final una opta por tener que ir presencialmente,that read the claims because I made a claim and they answered me with something that I already know and did not give a solution then at the end one choice for having to go facely
776,excelente el servicio espero que siga asi y mejorando felicitaciones,excellent service I hope you continue like this and improve congratulations
777,no logre mi objetivo realizar plan de pago por deuda de patente imagino que recibire por mail lo solicitado gracias,I do not achieve my goal to make a patent debt payment plan I imagine that I receive as requested by Mail
778,mayor agilidad en algunos tramites incorporacion de mas tramites online de ingresos brutos modificacion de actividades domicilios etc,Greater agility in some procedures Incorporation of more online processing of gross income modification of domicilios etc.
779,me gustaria que hagan mas capacitaciones para poder utilizar las paginas correctamente ,I would like more trainings to be able to use the pages correctly
780,en el proceso de sellado automatico podria generar el comprobante formal de sellado exento podria permitir agregar al verdadero locador que no siempre es el titular registral por ej en caso de usufructos vitalicios deberia permitir agregar mas propiedades pues a veces en un solo contrato hay mas de una propiedad gracias,"In the process of automatic sealing, it could generate the formal proof of exempt sealing, it could allow to add the true locator that it is not always the registry owner for example, in case of vitalic usufructs, it should allow adding more properties because sometimes in a single contract there is more than one Property thanks"
781,se demoran en el sellado de cesion de derechos y acciones,They are delayed in the sealing of CESION of rights and actions
782,deberia ajustar mejor la salida de archivos al sistema convenio multilateral,You should better adjust the file output to the multilateral agreement
783,para los contratos de alquiler no ha sido facil hacer el tramite de sellado,For rental contracts it has not been easy to make the sealing process
784,el telefono  muchisimo tiempo de espera ,The phone very much waiting time
785,por ejemplo para tramitar la suspension de cobro por hurto/ robo luego como sigo el tramite? no entendi,"For example, to process the suspension of charge for theft / theft then as I follow the procedure? I did not understand"
786,esta muy bien siempre se puede mejorar sugiero explicitar el pago de sellado no todos poseen la escala de acuerdo a los valores de los alquileres en los contratos maxime que ahora es por 3 años,"This very well can always be improved I suggest explicit the non-seal payment, not all possess the scale according to the values ​​of the rentals in the Maxime contracts that is now for 3 years"
787,poner un chat virtual para consultas agregar gente que atienda llamadas ,put a virtual chat for queries add people who attend calls
788,en varias ocasiones la pagina no funciona es imposible realizar los pagos de tasa de justicia por la web ya que la misma deja de funcionar los expedientes electronicos sin movimientos desde sus inicios por mas bonita que sea la pagina y plataforma si luego no funciona o no verifican los expedientes carece todo de sentido ,On several occasions the page does not work It is impossible to make justice rate payments on the web since it stops operating electronic records without movement from its beginnings as best as the page and platform if it does not work or do not verify The files lack all sense
789,agregar otros tipos de tramites por ejemplo reclamo bd ,"Add other types of procedures, for example, BD claim"
790,el 148 siempre esta ocupado,The 148 is always busy
791,falta mas agilidad en las repuestas de los tramites on line,Lack more agility in the replaces of the on-line procedures
792,mayor agilidad en los tramites relacionados a catastro,Greater agility in cadastre-related procedures
793,debieran ser mas explicitos en alguno tramites,They should be more explicit in some procedures
794,la pagina es excelente la seccion de tramites es confusa no es intuitiva,the page is excellent the processing of procedures is confusing it is not intuitive
795,mas claridad para realizar los tramites en linea,more clarity to perform the traps online
796,la respuesta que me dieron no era completa por ello tuve que iniciar un nuevo tramite ya que no aclaran el porque de lo que responden-,The answer they gave me was not complete because of that I had to start a new procedure since they do not clarify the because of what they respond-
797,deberian buscar herramientas / sistemas y recurso humano mas competentes con las labores a ejecutar ,They should look for more competent tools / systems and resources with the tasks to execute
798,no escontre como responder el expediente electronico y tuve que iniciar uno nuevo deberia ser un poco mas facil simple entendible,I do not miss how to answer the electronic file and I had to start a new one should be a little easier simple understandable
799,lean los tramites online que uno realiza tengo uno del 25/02/2021 y aun no pasa nada ,read the online procedures that one performs I have one on 02/25/2021 and nothing does not happen
800,imposible comunicarse al 148 deberian ser mas agiles los operadores o poner mas el tramite electronico no es del todo claro en mi caso trato de notificar que no se ha imputaado un pago de la patente de mi vehiculo y al adjuntar el archivo opcion cpte de pago no sale no se si esta bien o mal al ingresar opcion constancia para el adjunto,Impossible to communicate to the 148 operators should be more agile or put the electronic procedure more is not completely clear in my case I try to notify that a patent payment of my vehicle has not been imputed and when attaching the option option CPTE payment no It comes out I do not know if it is good or bad when entering option constancy for the attachment
801,los tramites correspondientes en la direccion general de catastro deberian ser resueltos con mayor rapidez ,The corresponding procedures in the general direction of cadastre should be resolved more quickly
802,tardan mucho en dar una repuesta a un tramite muy sencillo,take a long time to give a response to a very simple process
803,agilizar el tiempo de respuesta de tramites electronicos,Examine the response time of electronic procedures
804,el sistema no es intuitivo y los accesos o derivaciones son muy rebuscadas por lo que a la media de la poblacion le sera muy dificil operar aqui ,The system is not intuitive and the accesses or referrals are very scounded so that the average of the population will be very difficult to operate here
805,el tema sellado en muchos casos es necesario hablar con alguien que asesore en el momento y siempre es imposible,The theme sealed in many cases is necessary to talk to someone who advises at the moment and it is always impossible
806,ninguna,none
807,poder obtener la deuda de los impuestos directamente por la pagina sin tener que asistir a la bolsa de comercio o a las oficinas de atm que actualmente ninguna atiende,Being able to get tax debt directly by the page without having to attend the stock exchange or at ATM offices that currently any attends
808,los tramites resultan muy lentos y mal interpretados como ha sucedido en mi caso que solicite la compensacion del doble pago del impuesto automotor del dominio jxv298 del peugeot 207 de la que soy titular por $ 16606  que se compensara con la deuda  del impuesto automotor =ac847in ford focus del año 2020 del cual tambien soy titular y archivaron el expte resolviendo que el inmueble a mi nombre no posee deuda yo jamas mencione un inmueble en mi solicitud han pasado largos meses mi dinero que se encuentra en vuestro poder se desvaloriza abruptamente como es de publico conocimiento y uds mientras tanto estaran generando intereses a mi deuda lo que resulta totalmente injusto,"The procedures are very slow and poorly interpreted as it has happened in my case to request the compensation of the double payment of the JXV298 domain tax of the PEUGEOT 207 from which I am holder for $ 16606 that will be compensated with the debt of the automotive tax = AC847IN FORD Focus of the year 2020 of which I am also a starter and filed the EXPTE by resolving that the property to my name does not have a debt I have never mentioned a property on my application have passed long months my money that is in your power is devalued abruptly as it is public Knowledge and UDS Meanwhile will be generating interest to my debt, which is totally unfair"
809,los tramites online a veces no son resueltos de acuerdo a lo solicitado,Online Processes are sometimes not resolved according to the requested
810,me costo muchisimo solicitar un sellado todavia no se si esta bien hecho el tramite porque no se ni donde fijarme la resolucion del tema solo me dieron un numero de expediente y ahora no se como sigue todo el tramite,It cost me a lot to request a seal yet I do not know if it is well done the process because I do not know where to get the resolution of the subject only gave me a file number and now I do not know how the whole procedure is still
811,demasiado lento para resolver algo que presencialmente se resuelve en 15 minutos ,Too slow to solve something that is personally resolved in 15 minutes
812,aclarar el domicilio de la ventanilla unica porque los datos llevan al edificio de atm,clarify the domicile of the Unica window because the data lead to the ATM building
813,"que los empleados d
se po gan a trabajar sino que dejen que personas con ganas de trabajar tomen su lugar es un desastre la atencion y los tramites virtuales siempre los observan y no te dan soluciones se necesita gente con ganas de ayudar al cliente o usuario como le llamen","that employees d
you will be done to work but let people want to take their place is a disaster attention and virtual procedures always observe them and do not give you solutions you need people wanting to help the customer or user as they call you"
815,muy engorroso el tramite para la baja de impuestos deberia ser mas expeditivo e interactivo,very cumbersome the taxation for taxes should be more expeditious and interactive
816,si bien la informacion es clara para algunos tramites como un sellado de contrato el cual no tiene un monto fijo estipulado para un contribuyente comun es imposible saber como calcular el monto imponible salvo que se consulte con alguna persona que ya realizo este tipo de tramite en mi caso particular un operador telefonico  de atm no supo explicarme  como hacerlo ,Although the information is clear for some procedures as a contract seal which does not have a fixed amount stipulated for a common taxpayer it is impossible to know how to calculate the taxable amount unless you consult with someone who already made this type of process in me a particular case An atm telephone operator did not know how to explain how to do it
817,la pregunta 4 aun no se resuelve porque recien estoy iniciando el tramite gracias suguiero la posibilidad de realizar reimputaciones de pagos a traves de la pagina para el caso de pagos duplicados tambien la posibilidad de ver todos los pagos realizados con fecha de pago,"Question 4 is not yet resolved because I am recently starting the process, I succeed the possibility of reimputation of payments through the page for the case of duplicate payments also the possibility of seeing all payments made with date of payment"
818,adjuntar mas explicaciones mas opciones y simplificar los pagos aun con intereses generar un plan de pagos por pocos intereses generados por pocos meses de retraso no es practico  ,Attach more explanations More options and simplify payments Even with interest Generating a Payment Plan for a few interests generated for a few months of delay is not practical
819,por favor controlar que los vehiculos sean cargados en el sistema como corresponde ya hace varios año me paso que le dieron baja a un vehiculo de mi titularidad x error y actualmente aun no le dan de baja a un vehiculo que esta transferido seria importante que trabajen con seriedad y sin perjudicar a nadie,Please check that the vehicles are charged in the system as it is already several years ago I have been going down to a vehicle of my ownership x error and currently they still do not fall to a vehicle that is transferred would be important to work with seriousness and without harming anyone
820,mas accesibilidad para gente mayor,More Accessibility for Elderly People
821,"en el punto 4 el tramite que inicie todavia no esta resuelto si es posible resolverlo de manera electronica es una excelente y practica opcion
si estaria que hubiera un punto directo para modificar los datos del domicilio fiscal ","In point 4 the process that starts is not yet solved if it is possible to solve it electronically is an excellent and practical option
if there would be a direct point to modify the data from the tax address"
822,sellos muy complejo ,Very complex seals.
823,nadie atiende los telefonos ,Nobody attends the telephones
824,el instructivo de sellados de ordenes de compra no es claro o esta des actualizado,The travelers of purchase orders sealing is not clear or is updated
825,muy rapida atencion y solucion de consultas,Very fast ATTENTION AND CONSULTATIONS SOLUTION
826,los expedientes para liquidar tasa de justicia de inmuebles fuera d ela provincia es muy dificillllll,Records to liquidate property justice out-of-D ELA province is very difficultlllll
827,"solo puedo indicar que una respuesta fue indicada como nada satisfactoria debido a que el tramite aun no ha finalizado por lo tanto no se cual es el grado de satisfaccion ante la solucion que puedan dar
","I can only indicate that a response was indicated as nothing satisfying because the procedure has not yet ended, therefore, what is the degree of satisfaction before the solution that can give
"
828,en relacion a la funcionalidades me parece que deberian ser mas difundidas y estaria bueno que cuando llegan notificaciones por mail ya venga en el correo la misma y no tener que entrar por la plataforma,In relation to the functionalities I think they should be more disseminated and it would be good that when notifications arrive by mail and come in the mail it and not have to enter through the platform
829,deberian agilizar los tramites ,They should streamline the procedures
830,dar continuidad a las consultas que se hacen en los tramites,Give continuity to the consultations that are made in the procedures
831,pagina poco intuitiva y falta de guia para los diversos tramites,Little intuitive page and lack of guide for the various procedures
832,que funcione la pagina,that works the page
833,un poco confusos los procedimientos en la carga de documentacion no estan bien descriptos los tipos de documentos,a bit confusing the procedures in the documentation load are not well described the types of documents
834,en algunos casos es importante conseguir un turno para ser atendido en forma presencial,In some cases it is important to get a turn to be attended in face-to-face
835,no encontre el icono para dejar informado que el expediente que inicie es para  un tercero,I do not find the icon to leave informed that the file that starts is for a third party
836,los organismos que piden la emision de boletos de pago como la direccion de fiscalizacion y control meiye deberian ser capacitados para que puedan guiar mejor a los contribuyentes quiza sea suficiente que tengan un pequeño volante con instrucciones la informacion que les suministran es muy imprecisa ,"The organisms that ask for the payment of payment tickets as the direction of audit and control Meiye should be trained so that they can better guide taxpayers, it is sufficient that they have a small steering wheel with instructions the information they supply is very imprecise"
837,solo necesito que me envien una copia del boleto inmobiliario 2020 con detalle del avaluo de mi propiedad 06-448088,I just need you to send me a copy of the real estate ticket 2020 with detail of the valuation of my property 06-448088
838,excelente el trabajo y  el tiempo que ahorra esta pagina,excellent work and time that saves this page
839,falta celeridad en los tramites,Lack Celerity in the procedures
840,se necesita una pagina mas simple acorde a la cognicion de un usuario comun con menos ruido y acorde a las necesidades de tiempo del internauta,A simpler page is needed according to the cognition of a common user with less noise and according to the time needs of the internet
841,podrian poner tutoriales para la realizacon de los tramites,They could put tutorials for the realization of the procedures
842,se debe poder pagar el boleto automotor por este medio,You must be able to pay the automotive ticket by this means
843,mejorar el servicio de tasa de justicia mas que nada para el fuero de familia no contiene todos los procesos y es dificil calcular la tasa a pagar,Improve the justice rate service More than anything for the family's driving does not contain all the processes and it is difficult to calculate the rate to be paid
844,faltan detallar requisitos por tramite,Missing Detail Requirements by Tramit
845,agregar en el cambio de datos personales el domicilio del contribuyente tal como lo tiene implementado la afip,Add to change personal data the address of the taxpayer as the AFIP has implemented
846,el tramite online presenta problemas cuando la persona es mayor,The online process presents problems when the person is greater
847,tiempo de resolucion extendido,Extended resolution time
848,sugiero que los tramites por mis tramites permitan una comunicacion mas fluida con los agentes,I suggest that the procedures for my procedures allow a more fluid communication with the agents
849,tratar de agilizar el envio del boleto de tasa de justicia ,Try to speed up the shipment of the justice rate ticket
850,muy amigable y simple de operar,Very friendly and simple to operate
851,debiera ser mas sencillo para las personas mayores ,It should be simpler for the elderly
852,no se entiende el tramite de sellado de un alquiler,The sealing process of a rental is not understood
853,no me dice como me enviaran la constancia supongo al correo,it does not tell me how you send me the constancy I guess
854,las respuestas que envian al correo sobre los tramites iniciados deben contener mas informacion por ejemplo su solicitud esta observada debera ser resuelta por usted  pero no especifica que esta mal,"The answers sent to the mail about the initiated procedures must contain more information, for example, your request is observed should be resolved by you but does not specify that it is wrong"
855,ha mejorado mucho la pagina seria muy util poder blanquear claves o cambiar mails para generacion de claves de oficina virtual por este medio,It has improved a lot of the page would be very useful to whiten keys or change mails for generation of virtual office keys by this means
856,la atencion telefonica para blanquear una cuenta es muy tediosa comparada con lo agil de la plataforma ,Telephone care to whiten an account is very tedious compared to the agile of the platform
857,no llega ,does not reach
858,no se entiende como ver las respuestas de mis tramites on line ,It is not understood as see the answers of my on-line procedures
859,hay que mejorar la integracion de la patota en dispositivos moviles,We must improve the integration of the riot in mobile devices
860,hace tiempo y en reiteradas oportunidades hace que estoy solicitando la exencion 50% impuesto automotor vivo en malargue y no entiendo por que no dispongo de dichi}o beneficio ,Some time ago and in repeated opportunities it makes I request the exemption 50% automotive tax live in Malargue and I do not understand why I do not have DICHI} or benefit
861,la aplicacion syges deberia permitir guardar temporalmente el tramite ya que se pierde sesion antes de poder finalizar y se pierde todo lo realizado cuando estaba haciendo un tramite pulse en el check ver anulados y se ocultaron todos los adjuntos lo cual es correcto pero al descheckear no se visualizaron nuevamente los archivos que tenia adjuntos,"The Syges application should allow you to temporarily save the process since it is possible to be lost before you can end and everything performed is lost when you were doing a process, click on the Check See Anulats and all the attachments were hidden, which is correct but the descheckear does not viewed again the files I had attached"
862,excelente respuesta via online,Excellent response via online
863,no todos las personas sabemos y entendemos las referencias cuando queremos realizar algun tramite en la pagina entiendo la situacion actual pero si no tuviera la ayuda de mi contadora estaria completamente perdida en y con atm suerte con las mejoras,Not all people know and understand the references when we want to make some process on the page I understand the current situation but if I did not have the help of my accountant I would be completely lost in and with luck with the improvements
864,mas tramites autogestionables,More self-managed procedures
865, muy buena , very good
866,estoy esperando saber  como se va a resolver el tramite iniciado es la primeravez que utilizo este servicio,I am hoping to know how to resolve the initiated process is the first time I use this service
867,creo que son muy limitadas las opciones para los tramites y lo mismo para gestionar en la pagina cualquier otra cosa como un plan de pago,I think the options for the procedures and the same are very limited to manage on the page anything else as a payment plan
868,poder pagar en rapipago o pago facil de otras provincias estoy en jujuy y no me toman el comprobante de su pagina para abonar y por la web me da para pagar el importe sin la mora del pago retrasado del año anterior con lo cual se sigue sumando deuda por la falta de generacion de factuyras que se puedan pagar desde cualquier punto y la falta de actualizacion en su pagina para abonar el importe al dia,be able to pay in rapipago or easy payment of other provinces I am in jujuy and do not take me the proof of your page to pay and on the web it gives me to pay the amount without the default of the delayed payment of the previous year with which it is still adding debt For the lack of generation of factutions that can be paid from any point and lack of update on your page to pay the amount a day
869,me resultaron poco claras las opciones de tramites,I found the processing options unclear
870,muchos errores de la pagina poca respuestas al 148,Many errors of the little page Answers to 148
871,el tramite no fue resuelto todavia,The process was not resolved yet
872,deberia permitirse crear vep para pago de iibb desde pagina de afip asi como se genera para ag de retencion o escribanos etc ,should be allowed to create VEP for IBB payment from AFIP page as well as generated for AG of retention or write us etc.
873,deberia haber un importante call center para evacuar consultas,There should be an important call center to evacuate inquiries
874,necesito que respondan y resuelvan el expediente electronico ee89362021 que esta creado desde el 10/02/2021 gracias,I need them to respond and solve the electronic file EE89362021 that is created since 02/10/2021 thanks
875,mas rapidez en los tramites que se preste atencion y no generar nuevo inconveniente al ciudadano ,More speed in the procedures that pay attention and not generate new inconvenience to the citizen
876,por favor en la parte de plan de pagos cuando no se pueda pagar tiene que haber alguna forma de solucion facil para reactivar esa cuota y poder pagarla porque la intencion y voluntad de pago de parte del contribuyente esta lo dificil es encontrar gente de atm que atiende el pedido y de una solucion pronto,Please in the Payment Plan part when you can not afford there must be an easy way of solving to reactivate that fee and be able to pay it because the intention and willingness of payment from the taxpayer is the difficult thing is to find ATM people who attend the order and a solution soon
877,me gustaria mas rapidez,I would like faster
879,notificar el avance del tramite es decir el paso a las distintas oficinas u observaciones  al correo electronico ,Notify the progress of the process that is to say the passage to the different offices or observations to the email
880,acelerar los tiempos en que generan las boletas de pago,Accelerate the times in which the payment cards generate
881,el menu es complicado y poco claro creo que el sistema esta hecho para que uno gaste en un contador o pierda tiempo la atencion telefonica no existe tengo grabado una hora de espere y sera atendido tuve que sacar un turno y cuando fui hasta alla me dieron un papel para que el tramite lo haga en internet y encima la chica que me atendio me dijo que si en un par de semanas no me han contestado el expediente electronico que saque otra vez turno para ir personalmente a ver que pasa atencion al cliente muy mala deberian contratar a alguien que los asesore perdida de tiempo total,the menu is complicated and unclear I think that the system is made for one to spend on an accountant or lose time Telephone attention does not exist I have an hour of wait and will be attended I had to take a turn and when I went until I got a turn paper so that the procedure does it on the internet and over the girl who looked at me told me that if in a couple of weeks you have not answered the electronic file that I take turns again to go personally to see what happens to the very bad customer Hire someone who advises them loss of total time
882,celeridad en la respuesta de tramites web ,Celerity in the response of web processing
